run_id,iter_pi,iter_p,iter_p_with_pi,R,E,sanity_check
91.0,8.0,7.0,2.0,0.03231504906462135,0.005956710109555537,9.679167946022796e-7
92.0,9.0,7.0,3.0,0.02844672427824335,0.003677371183550963,1.0893622899393424e-6
93.0,8.0,7.0,2.0,0.03143618203410048,0.0069673504267607185,3.940547274573329e-7
94.0,7.0,7.0,2.0,0.0380474767708161,0.006453194840636009,8.777541675026471e-7
95.0,8.0,7.0,2.0,0.026884752629290576,0.00286412339301773,6.605079325589288e-7
96.0,8.0,7.0,2.0,0.046236587904429305,0.00380929958320006,4.143259752628506e-7
97.0,8.0,7.0,2.0,0.02583047006256889,0.0019999669588799777,6.848401079709689e-7
98.0,7.0,7.0,3.0,0.05267826242506668,0.00201543383107408,4.0863178434368154e-7
99.0,7.0,7.0,3.0,0.03960834226398402,0.0018835926881908597,2.2525837404790477e-7
100.0,7.0,7.0,3.0,0.023523246217824756,0.0017553703262496846,3.6843921431956503e-7
101.0,7.0,7.0,2.0,0.04320639985277519,0.0042375434277885475,3.130037700258917e-7
102.0,9.0,7.0,2.0,0.018412236541739624,0.0020471151802758276,8.088768918777811e-7
103.0,7.0,7.0,3.0,0.038194356354271264,0.002261086184160157,4.602691096344961e-7
104.0,8.0,7.0,2.0,0.020844471640669715,0.003605204839720306,9.895455563263314e-7
105.0,6.0,7.0,2.0,0.012203777285670903,0.0032343453134066713,7.640968834892289e-7
106.0,5.0,7.0,2.0,0.0111569358701753,0.0021428350401346686,7.003929208467697e-7
107.0,8.0,7.0,3.0,0.04962034631898793,0.003679045259063401,1.0484239667826952e-6
108.0,8.0,7.0,3.0,0.019518087251398253,0.003528515725472935,9.048332552406276e-7
109.0,8.0,7.0,3.0,0.015560092445679574,0.002847382247234089,6.414315599281829e-7
110.0,8.0,7.0,2.0,0.020590177225094042,0.0030168053032996757,5.629264544433197e-7
111.0,8.0,7.0,2.0,0.03211217522930787,0.006583501575965937,4.5799681519465853e-7
112.0,7.0,7.0,2.0,0.04859986155973295,0.006088287746522549,3.0514767324893126e-7
113.0,8.0,7.0,3.0,0.031108135709959406,0.0022516790440362607,4.834932219133248e-7
