run_id,iter_pi,iter_p,iter_p_with_pi,R,E,sanity_check
30.0,6.0,6.0,2.0,0.009554670726916514,0.0013006400582928502,4.73735670382644e-8
31.0,7.0,6.0,2.0,0.007807720060830858,0.0012444868330065033,6.213091900007921e-8
32.0,6.0,6.0,2.0,0.009352467978464007,0.0009606954606066813,5.314136636628224e-8
33.0,6.0,6.0,2.0,0.007749613627793028,0.0014383063425875478,5.069878643596902e-8
34.0,6.0,6.0,2.0,0.0035753478913984615,0.0010367721011674688,7.097857847372592e-8
35.0,6.0,6.0,2.0,0.007765711380730123,0.0012385724045261167,6.870618792447129e-8
36.0,6.0,6.0,2.0,0.007240971254199202,0.0009254859539621384,6.537240095888711e-8
37.0,6.0,6.0,2.0,0.005743064877685944,0.0011625349006175554,6.768683360664009e-8
38.0,6.0,6.0,2.0,0.006862334521975821,0.0006791355186832436,5.710485509095812e-8
39.0,6.0,6.0,2.0,0.0045001291952389,0.000846975969174134,4.762301341554887e-8
40.0,6.0,6.0,2.0,0.0050683953129595505,0.0009882105727178903,5.677604300455706e-8
41.0,6.0,6.0,2.0,0.007407947348494259,0.0008539247736738551,6.87468455720195e-8
42.0,6.0,6.0,2.0,0.0067328528527697,0.0011392787052589704,4.822068486744338e-8
43.0,7.0,6.0,2.0,0.0049284027400788855,0.001140733915041182,7.491185368219283e-8
44.0,6.0,6.0,2.0,0.005017747934898287,0.0009708173958076825,5.443716124826744e-8
45.0,6.0,6.0,2.0,0.004022044874088193,0.0011391179013202312,6.05045799736725e-8
46.0,5.0,6.0,2.0,0.008170435454569969,0.000961698530722278,4.62565129016429e-8
47.0,6.0,6.0,2.0,0.0036009398473766385,0.0007694842771624695,7.31583750376211e-8
48.0,6.0,6.0,2.0,0.007466560911998599,0.0012269062803694798,6.375391612190869e-8
49.0,6.0,6.0,2.0,0.006548011055308001,0.0009498918303311767,7.001740739684788e-8
50.0,6.0,6.0,2.0,0.006382868169497513,0.0009171731928621537,7.076139947774784e-8
51.0,5.0,6.0,2.0,0.009359131726141667,0.0008767129801833054,4.755223421116486e-8
52.0,6.0,6.0,2.0,0.005880177893956118,0.0008171267222804684,6.275027989883061e-8
